model,accuracy,precision,recall,f1_score,roc_auc
Logistic Regression,0.7847358121330724,0.1487603305785124,0.72,0.2465753424657534,0.7866255144032922
Random Forest,0.8385518590998043,0.1337579617834395,0.42,0.2028985507246377,0.7753703703703704
XGBoost,0.8551859099804305,0.13970588235294118,0.38,0.20430107526881722,0.7775102880658437
SVM,0.7915851272015656,0.11374407582938388,0.48,0.1839080459770115,0.7509670781893004
